"Station";"Name";"Höhe m";"Datum";"Zeit";"T °C";"TP °C";"RF %";"WR °";"WG km/h";"WSR °";"WSG km/h";"N l/m²";"LDred hPa";"LDstat hPa";"SO %"
11010;"Linz/Hörsching";298;"12-01-2024";"00:00";-4,1;-5,9;87;260;14,8;;22,3;0;1031,1;991,1;0
11012;"Kremsmünster";383;"12-01-2024";"00:00";-3,9;-5,4;90;286;3,6;;24,5;0;1031,4;981,9;0
11022;"Retz";320;"12-01-2024";"00:00";-2,2;-7,7;67;333;7,9;23;18,4;0;1028,7;988,2;0
11035;"Wien/Hohe Warte";203;"12-01-2024";"00:00";0,8;-6,4;58;303;18,7;290;37,1;0;1027,2;1001;0
11036;"Wien/Schwechat";183;"12-01-2024";"00:00";-0,1;-6,2;64;330;20,5;;27,7;0;1027,2;1004;0
11101;"Bregenz";424;"12-01-2024";"00:00";-2,1;-4,2;87;95;1,1;146;14,8;0;1031,6;976,7;0
11121;"Innsbruck";579;"12-01-2024";"00:00";-3,3;-4;96;239;7,9;232;11,2;0;1032,4;959,3;0
11126;"Patscherkofel";2247;"12-01-2024";"00:00";-6;-13;59;360;4,7;12;12,2;0;;776,6;0
11130;"Kufstein";495;"12-01-2024";"00:00";-4,2;-5,5;92;239;2,9;176;9;0;1032,4;970,3;0
11150;"Salzburg";430;"12-01-2024";"00:00";-5,6;-6;97;140;5,4;;13;0;1032,5;975,8;0
11155;"Feuerkogel";1618;"12-01-2024";"00:00";-5;-9,2;74;300;18,4;316;28,4;0;;840,2;0
11157;"Aigen im Ennstal";640;"12-01-2024";"00:00";-5,2;-6,6;91;289;6,8;248;16,6;0;1031,5;949,9;0
11171;"Mariazell";866;"12-01-2024";"00:00";-3,1;-5,8;82;342;6,1;1;12,2;0;1028,7;923,3;0
11190;"Eisenstadt";184;"12-01-2024";"00:00";0,5;-6,1;62;316;26,6;306;43,9;0;1025,5;1002,5;0
11204;"Lienz";659;"12-01-2024";"00:00";-6,1;-7;94;222;4,7;216;9,4;0;1029;945,5;0
11240;"Graz/Flughafen";340;"12-01-2024";"00:00";-3,2;-4,9;88;330;5,4;;9,4;0;1026,1;980,3;0
11244;"Bad Gleichenberg";280;"12-01-2024";"00:00";-3,6;-5;90;353;2,9;355;7,6;0;1025,9;991,4;0
11265;"Villacher Alpe";2140;"12-01-2024";"00:00";-4,7;-13;53;360;41,8;359;50,4;0;;783,4;0
11331;"Klagenfurt/Flughafen";447;"12-01-2024";"00:00";-4;-5,1;94;292;7,6;290;10,4;0;1027,9;971;0
11343;"Sonnblick";3105;"12-01-2024";"00:00";-12,3;-16,9;70;25;40,7;36;63;;;693,4;0
11389;"St. Pölten";270;"12-01-2024";"00:00";-2,7;-5,6;81;234;20,9;245;38,2;0;1029,4;995,2;0
11010;"Linz/Hörsching";298;"12-01-2024";"01:00";-5;-6,5;89;260;14,8;;22,3;0;1031,5;991,4;0
