"Station";"Name";"Höhe m";"Datum";"Zeit";"T °C";"TP °C";"RF %";"WR °";"WG km/h";"WSR °";"WSG km/h";"N l/m²";"LDred hPa";"LDstat hPa";"SO %"
11010;"Linz/Hörsching";298;"15-08-2023";"00:00";23,6;13,7;54;70;9,4;;14,8;0;1015,3;979,7;0
11012;"Kremsmünster";383;"15-08-2023";"00:00";21,9;16,4;71;69;2,9;61;10,8;0;1015,3;971;0
11022;"Retz";320;"15-08-2023";"00:00";22,4;14,1;60;59;9,7;74;15,1;0;1018;981,4;0
11035;"Wien/Hohe Warte";203;"15-08-2023";"00:00";22,4;13,7;58;214;10,1;206;25,9;0;1018,1;994,1;0
11036;"Wien/Schwechat";183;"15-08-2023";"00:00";18,2;14,1;77;150;13;;14,8;0;1019,2;997,7;0
11101;"Bregenz";424;"15-08-2023";"00:00";24,6;17,9;66;130;10,1;114;20,2;0;1014,6;965,6;0
11121;"Innsbruck";579;"15-08-2023";"00:00";21,8;15;66;298;18,7;290;32,4;0;1017,3;951,5;0
11126;"Patscherkofel";2247;"15-08-2023";"00:00";14,3;7,2;63;174;34,2;174;40;0;;783,8;0
11130;"Kufstein";495;"15-08-2023";"00:00";22,4;18,7;79;238;2,2;267;11,9;0;1015,6;960,2;0
11150;"Salzburg";430;"15-08-2023";"00:00";23,1;20,4;85;150;11,2;;14,8;0;1014,8;964,7;0
11155;"Feuerkogel";1618;"15-08-2023";"00:00";19;10,5;58;203;18,4;200;26,3;0;;843,6;0
11157;"Aigen im Ennstal";640;"15-08-2023";"00:00";18,5;13,3;70;44;2,2;330;9;0;1018,6;944,6;0
11171;"Mariazell";866;"15-08-2023";"00:00";20,4;12;59;144;19,4;141;38,2;0;1018;921,9;0
11190;"Eisenstadt";184;"15-08-2023";"00:00";18,9;15,2;80;348;10,4;352;14,4;0;1019,1;997,8;0
11204;"Lienz";659;"15-08-2023";"00:00";19;16,1;83;288;3,6;299;7,2;0;1019,7;944,1;0
11240;"Graz/Flughafen";340;"15-08-2023";"00:00";18,5;15,9;85;330;3,6;;7,6;0;1020,3;978,3;0
11244;"Bad Gleichenberg";280;"15-08-2023";"00:00";16,9;15,5;91;344;2,5;336;4,3;0;1020,7;988,9;0
11265;"Villacher Alpe";2140;"15-08-2023";"00:00";12,7;9,8;82;6;3,6;350;6,8;0;;793,6;0
11331;"Klagenfurt/Flughafen";447;"15-08-2023";"00:00";19,4;16,2;83;330;3,2;116;7,6;0;1019,9;968,1;0
11343;"Sonnblick";3105;"15-08-2023";"00:00";7,7;5,5;87;273;8,6;288;21,2;;;707,8;0
11389;"St. Pölten";270;"15-08-2023";"00:00";20,5;15,2;72;279;2,9;298;12,6;0;1016,8;985,8;0
11010;"Linz/Hörsching";298;"15-08-2023";"01:00";22,2;13,4;58;70;9,4;;16,6;0;1015,6;979,8;0
11012;"Kremsmünster";383;"15-08-2023";"01:00";20,5;16,9;80;317;1,1;43;8,3;0;1015,8;971,2;0
11022;"Retz";320;"15-08-2023";"01:00";21,8;13,1;58;49;11,5;57;16,9;0;1018;981,3;0
