"Station";"Name";"Höhe m";"Datum";"Zeit";"T °C";"TP °C";"RF %";"WR °";"WG km/h";"WSR °";"WSG km/h";"N l/m²";"LDred hPa";"LDstat hPa";"SO %"
11010;"Linz/Hörsching";298;"04-12-2025";"00:00";2,3;2;98;0;1,8;;5,4;0;1016,2;977,7;0
11012;"Kremsmünster";383;"04-12-2025";"00:00";0,9;0,5;97;217;7,2;224;19,1;0;1016,4;968,5;0
11022;"Retz";320;"04-12-2025";"00:00";3;2,1;94;147;7,9;121;22,3;0;1016,9;977,7;0
11035;"Wien/Hohe Warte";203;"04-12-2025";"00:00";4;2;87;158;10,8;161;28,4;0;1016,3;990,7;0
11036;"Wien/Schwechat";183;"04-12-2025";"00:00";3,3;2,2;93;140;20,5;;29,5;0;1016,7;994,1;0
11101;"Bregenz";424;"04-12-2025";"00:00";1,4;-0,1;91;143;9,4;156;15,1;;1015,5;962,1;0
11121;"Innsbruck";579;"04-12-2025";"00:00";-2,9;-3,6;94;310;1,8;41;5,4;0;1017,5;945,6;0
11126;"Patscherkofel";2247;"04-12-2025";"00:00";-3,7;-7,1;79;168;53,3;165;73,8;0;;767,7;0
11130;"Kufstein";495;"04-12-2025";"00:00";-0,5;-1,1;97;204;4,7;201;12,6;0;1016,6;956,3;0
11150;"Salzburg";430;"04-12-2025";"00:00";1,2;-0,2;90;240;3,6;;9,4;0;1016,2;961,8;0
11155;"Feuerkogel";1618;"04-12-2025";"00:00";1,2;-5,4;62;209;10,1;212;13,7;0;;831,2;0
11157;"Aigen im Ennstal";640;"04-12-2025";"00:00";-3,4;-4;97;151;5;147;10,4;0;1018,7;938,7;0
11171;"Mariazell";866;"04-12-2025";"00:00";-1,3;-2,3;94;129;4,7;129;10,4;0;1016,6;913,1;0
11190;"Eisenstadt";184;"04-12-2025";"00:00";3,3;2,4;94;97;14,8;95;24,5;0;1016,6;994,1;0
11204;"Lienz";659;"04-12-2025";"00:00";0,9;-0,1;94;269;0,7;136;2,9;0;1018,3;937,7;0
11240;"Graz/Flughafen";340;"04-12-2025";"00:00";2;0,4;89;0;1,8;;5,4;0;1017,7;973,1;0
11244;"Bad Gleichenberg";280;"04-12-2025";"00:00";2,5;1,2;92;236;4;234;10,1;0;1017,8;984,4;0
11265;"Villacher Alpe";2140;"04-12-2025";"00:00";-2,9;-3;100;244;30,6;241;39,2;0;;778,5;0
11331;"Klagenfurt/Flughafen";447;"04-12-2025";"00:00";2,9;1,2;89;350;2,2;196;8,3;0;1017,9;962,9;0
11343;"Sonnblick";3105;"04-12-2025";"00:00";-8,2;-10;87;231;36,7;228;47,5;;;688,5;0
11389;"St. Pölten";270;"04-12-2025";"00:00";3,5;1,4;87;22;4;53;9,4;0;1016,1;983,1;0
11010;"Linz/Hörsching";298;"04-12-2025";"01:00";2,3;2,1;99;0;1,8;;3,6;0;1015,8;977,4;0
11012;"Kremsmünster";383;"04-12-2025";"01:00";1;0,6;97;225;9;225;13,7;0;1016;968,1;0
11022;"Retz";320;"04-12-2025";"01:00";3;2,2;94;115;9,4;122;20,2;0;1016,7;977,5;0
11035;"Wien/Hohe Warte";203;"04-12-2025";"01:00";3,8;2,1;88;145;11,5;156;29,9;0;1016,1;990,5;0
11036;"Wien/Schwechat";183;"04-12-2025";"01:00";3,3;1,9;91;140;18,4;;35,3;0;1016,4;993,8;0
11101;"Bregenz";424;"04-12-2025";"01:00";1,2;-0,2;91;129;8,3;143;14,8;;1015,4;962;0
11121;"Innsbruck";579;"04-12-2025";"01:00";-3,2;-4,2;94;205;1,1;313;11,5;0;1017,2;945,2;0
11126;"Patscherkofel";2247;"04-12-2025";"01:00";-3,9;-6,8;81;165;55,4;170;74,2;0;;767,5;0
11130;"Kufstein";495;"04-12-2025";"01:00";-0,6;-1,2;97;226;4,7;203;13,7;0;1016,2;955,9;0
11150;"Salzburg";430;"04-12-2025";"01:00";0,9;-0,3;91;230;5,4;;7,6;0;1015,8;961,4;0
11155;"Feuerkogel";1618;"04-12-2025";"01:00";1,2;-5,8;60;343;1,1;212;9,7;0;;830,9;0
11157;"Aigen im Ennstal";640;"04-12-2025";"01:00";-3;-3,6;97;174;4,3;140;14;0;1018,4;938,5;0
11171;"Mariazell";866;"04-12-2025";"01:00";-1,6;-2,4;95;125;9;128;13;0;1016,5;912,9;0
11190;"Eisenstadt";184;"04-12-2025";"01:00";3,4;2,2;93;91;14,8;98;23,8;0;1016,2;993,7;0
11204;"Lienz";659;"04-12-2025";"01:00";0,4;-0,5;94;338;2,5;226;5,4;0;1017,8;937,1;0
11240;"Graz/Flughafen";340;"04-12-2025";"01:00";2;0,4;89;320;7,6;;9,4;0;1017,3;972,8;0
11244;"Bad Gleichenberg";280;"04-12-2025";"01:00";2,3;0,9;92;295;4;280;9;0;1017,6;984,1;0
11265;"Villacher Alpe";2140;"04-12-2025";"01:00";-2,8;-2,9;100;249;29,5;246;37,4;0;;778,1;0
11331;"Klagenfurt/Flughafen";447;"04-12-2025";"01:00";2,8;1,3;90;35;1,8;40;3,6;0;1017,5;962,5;0
11343;"Sonnblick";3105;"04-12-2025";"01:00";-9;-10,9;87;219;42,1;223;49;;;688,1;0
11389;"St. Pölten";270;"04-12-2025";"01:00";3,3;1,3;87;16;3,2;35;10,1;0;1015,9;982,9;0
