"Station";"Name";"Höhe m";"Datum";"Zeit";"T °C";"TP °C";"RF %";"WR °";"WG km/h";"WSR °";"WSG km/h";"N l/m²";"LDred hPa";"LDstat hPa";"SO %"
11010;"Linz/Hörsching";298;"18-08-2024";"00:00";20,9;20;95;80;11,2;;20,5;5,7;1010,8;975,1;0
11012;"Kremsmünster";383;"18-08-2024";"00:00";21,5;19,8;91;221;16,9;224;27,4;0,1;1010,5;966,4;0
11022;"Retz";320;"18-08-2024";"00:00";21,9;18,6;82;274;2,5;326;8,6;0;1010,5;974,2;0
11035;"Wien/Hohe Warte";203;"18-08-2024";"00:00";20,8;19,9;95;277;10,4;321;15,8;0,3;1010,8;986,9;0
11036;"Wien/Schwechat";183;"18-08-2024";"00:00";21,3;20;92;180;14,8;;27,7;1,3;1011,4;990,4;0
11101;"Bregenz";424;"18-08-2024";"00:00";21,1;19,2;90;135;8,3;148;17,3;0,2;1010,7;961,3;0
11121;"Innsbruck";579;"18-08-2024";"00:00";19,3;17,4;89;66;9;99;15,5;0;1011,8;945,9;0
11126;"Patscherkofel";2247;"18-08-2024";"00:00";11;11;100;176;13;182;16,2;0;;777,3;0
11130;"Kufstein";495;"18-08-2024";"00:00";18,7;18,1;97;204;1,8;135;4,7;0;1011,6;955,7;0
11150;"Salzburg";430;"18-08-2024";"00:00";18,9;18,2;96;190;20,5;;27,7;11,1;1011,9;961,2;0
11155;"Feuerkogel";1618;"18-08-2024";"00:00";14,8;14,8;100;349;4,3;335;9;0;;837,7;0
11157;"Aigen im Ennstal";640;"18-08-2024";"00:00";18,2;17,8;98;249;0,7;189;5,8;0;1012;938,6;0
11171;"Mariazell";866;"18-08-2024";"00:00";16,6;16,5;100;158;4,7;162;12,6;0,3;1012,3;915,7;0
11190;"Eisenstadt";184;"18-08-2024";"00:00";21,1;20;94;35;10,1;269;58;5,3;1011,1;990,2;0
11204;"Lienz";659;"18-08-2024";"00:00";19,3;15,7;80;0;0;284;9,4;0;1011,3;936,4;0
11240;"Graz/Flughafen";340;"18-08-2024";"00:00";22,2;17,1;73;220;3,6;;9,4;0;1010,3;969,2;0
11244;"Bad Gleichenberg";280;"18-08-2024";"00:00";23,9;16,4;62;14;2,5;328;11,9;0;1010,2;979,5;0
11265;"Villacher Alpe";2140;"18-08-2024";"00:00";12,5;10,5;88;233;30,2;240;37,1;0;;786,8;0
11331;"Klagenfurt/Flughafen";447;"18-08-2024";"00:00";19,7;18,4;92;315;3,2;5;13,3;0;1010,3;959,1;0
11343;"Sonnblick";3105;"18-08-2024";"00:00";6,4;5,9;97;177;20,5;181;25,2;;;701,1;0
11389;"St. Pölten";270;"18-08-2024";"00:00";20,9;19,9;94;222;8,3;226;13;1;1011;980,2;0
11010;"Linz/Hörsching";298;"18-08-2024";"01:00";20,4;19,3;93;70;13;;16,6;0;1010,8;975,1;0
11012;"Kremsmünster";383;"18-08-2024";"01:00";21,1;19,7;92;94;7,6;228;25,2;0;1010,7;966,5;0
11022;"Retz";320;"18-08-2024";"01:00";22,2;18,4;79;49;6,5;17;9,7;0;1010,3;974;0
11035;"Wien/Hohe Warte";203;"18-08-2024";"01:00";20,9;20,2;96;324;3,6;289;16,2;0,7;1010,5;986,6;0
11036;"Wien/Schwechat";183;"18-08-2024";"01:00";21,1;20;94;200;9,4;;22,3;2,1;1010,8;989,8;0
11101;"Bregenz";424;"18-08-2024";"01:00";20,9;19,4;92;94;6,8;135;18,7;0,4;1010,3;960,9;0
11121;"Innsbruck";579;"18-08-2024";"01:00";18,8;17,3;91;138;7,6;135;15,1;0;1011,6;945,6;0
11126;"Patscherkofel";2247;"18-08-2024";"01:00";10,5;10,1;97;169;9,7;180;16,9;0;;776,8;0
11130;"Kufstein";495;"18-08-2024";"01:00";18,6;18,1;97;71;2,2;270;5;0;1011,1;955,2;0
11150;"Salzburg";430;"18-08-2024";"01:00";18,5;18,1;97;160;9,4;;27,7;4;1011,3;960,6;0
11155;"Feuerkogel";1618;"18-08-2024";"01:00";14,7;14,8;100;333;3,2;344;5;0;;837,4;0
11157;"Aigen im Ennstal";640;"18-08-2024";"01:00";18,4;17,9;97;0;0;42;4;0;1011,5;938,2;0
11171;"Mariazell";866;"18-08-2024";"01:00";16,6;16,4;99;148;6,8;147;12,6;0,2;1011,6;915,1;0
11190;"Eisenstadt";184;"18-08-2024";"01:00";20,9;20,1;96;295;4,7;61;22;0;1010,8;989,9;0
11204;"Lienz";659;"18-08-2024";"01:00";18;15,5;85;307;2,2;140;6,8;0;1011,4;936,2;0
11240;"Graz/Flughafen";340;"18-08-2024";"01:00";21,7;17,6;78;100;5,4;;11,2;0;1010,6;969,4;0
11244;"Bad Gleichenberg";280;"18-08-2024";"01:00";22,3;16,6;69;353;2,5;79;11,9;0;1010,6;979,7;0
11265;"Villacher Alpe";2140;"18-08-2024";"01:00";12,3;10,8;90;211;22,3;220;38,2;0;;786,8;0
11331;"Klagenfurt/Flughafen";447;"18-08-2024";"01:00";19,1;17,9;93;315;5,8;327;13,3;0;1010,4;959;0
11343;"Sonnblick";3105;"18-08-2024";"01:00";6,2;5,8;98;186;24,5;176;33,8;;;700,7;0
11389;"St. Pölten";270;"18-08-2024";"01:00";20,9;20,3;96;237;5,4;238;16,2;0,6;1010,4;979,7;0
