"Station";"Name";"Höhe m";"Datum";"Zeit";"T °C";"TP °C";"RF %";"WR °";"WG km/h";"WSR °";"WSG km/h";"N l/m²";"LDred hPa";"LDstat hPa";"SO %"
11010;"Linz/Hörsching";298;"22-01-2026";"00:00";-5,7;-7,8;85;90;18,4;;29,5;0;1005,7;966,5;0
11012;"Kremsmünster";383;"22-01-2026";"00:00";-6,5;-8,3;87;80;24,1;92;34,6;0;1005,6;956,9;0
11022;"Retz";320;"22-01-2026";"00:00";-6,7;-8,3;89;67;13,7;66;21,6;0;1008,5;968,2;0
11035;"Wien/Hohe Warte";203;"22-01-2026";"00:00";-5,3;-7,6;84;160;13,7;148;32,4;0;1007,8;981,5;0
11036;"Wien/Schwechat";183;"22-01-2026";"00:00";-5,8;-7,6;87;140;22,3;;37,1;0;1008,4;985,2;0
11101;"Bregenz";424;"22-01-2026";"00:00";-1,8;-2;99;65;5,8;62;10,1;;1001;947,8;0
11121;"Innsbruck";579;"22-01-2026";"00:00";-3,7;-6,9;79;278;12,2;276;19,1;0;1003,7;932,5;0
11126;"Patscherkofel";2247;"22-01-2026";"00:00";-3,9;-15,6;40;174;28,8;179;37,4;0;;757,4;0
11130;"Kufstein";495;"22-01-2026";"00:00";-4,8;-7,6;83;169;4;153;9,7;0;1003,4;942,9;0
11150;"Salzburg";430;"22-01-2026";"00:00";-9,7;-11,2;89;300;5,4;;9,4;0;1004,4;948,4;0
11155;"Feuerkogel";1618;"22-01-2026";"00:00";-1;-18,5;25;260;7,6;278;12,6;0;;819,2;0
11157;"Aigen im Ennstal";640;"22-01-2026";"00:00";-12,8;-14,9;84;211;2,9;223;5,8;0;1009,4;927,3;0
11171;"Mariazell";866;"22-01-2026";"00:00";-7,6;-12,6;67;137;7,2;129;15,8;0;1006;901,2;0
11190;"Eisenstadt";184;"22-01-2026";"00:00";-5,6;-7,9;84;128;14;124;29,2;0;1008,3;985,2;0
11204;"Lienz";659;"22-01-2026";"00:00";-14,2;-16;86;354;1,1;317;6,1;0;1012,8;928,1;0
11240;"Graz/Flughafen";340;"22-01-2026";"00:00";-7,2;-9,1;86;270;5,4;;9,4;0;1009,4;963,7;0
11244;"Bad Gleichenberg";280;"22-01-2026";"00:00";-5,9;-8,1;86;195;2,9;195;7,2;0;1009,1;974,9;0
11265;"Villacher Alpe";2140;"22-01-2026";"00:00";-6,3;-19,4;35;233;35,3;234;37,4;0;;767;0
11331;"Klagenfurt/Flughafen";447;"22-01-2026";"00:00";-8,4;-9,9;90;145;6,1;164;9,4;0;1010,6;953,7;0
11343;"Sonnblick";3105;"22-01-2026";"00:00";-6,6;-42,4;4;356;11,5;6;15,5;;;679,5;0
11389;"St. Pölten";270;"22-01-2026";"00:00";-5,7;-8,8;80;60;9;40;20,9;0;1007,1;973,2;0
11010;"Linz/Hörsching";298;"22-01-2026";"01:00";-5,9;-8;86;100;22,3;;33,5;0;1005,1;965,9;0
11012;"Kremsmünster";383;"22-01-2026";"01:00";-6,6;-8,2;88;90;18,4;78;30,2;0;1004,9;956,2;0
11022;"Retz";320;"22-01-2026";"01:00";-6,7;-8,3;89;70;13;74;21,6;0;1007,7;967,4;0
11035;"Wien/Hohe Warte";203;"22-01-2026";"01:00";-5,2;-7,2;86;156;13;173;32,4;0;1007;980,7;0
11036;"Wien/Schwechat";183;"22-01-2026";"01:00";-5,8;-7,8;86;140;20,5;;35,3;0;1007,5;984,3;0
11101;"Bregenz";424;"22-01-2026";"01:00";-1,4;-1,4;100;2;2,2;38;9;;1000,7;947,5;0
11121;"Innsbruck";579;"22-01-2026";"01:00";-4,4;-7,5;79;313;10,8;311;18;0;1003,4;932,1;0
11126;"Patscherkofel";2247;"22-01-2026";"01:00";-3,7;-15,6;40;172;38,5;164;42,8;0;;756,8;0
11130;"Kufstein";495;"22-01-2026";"01:00";-4,9;-7,2;85;236;5;239;13,3;0;1002,9;942,4;0
11150;"Salzburg";430;"22-01-2026";"01:00";-9,2;-10,3;92;310;7,6;;7,6;0;1003,7;947,9;0
11155;"Feuerkogel";1618;"22-01-2026";"01:00";-0,7;-19,4;23;232;3,6;269;12,6;0;;818,6;0
11157;"Aigen im Ennstal";640;"22-01-2026";"01:00";-12,6;-14,2;88;238;2,2;230;6,8;0;1008,4;926,5;0
11171;"Mariazell";866;"22-01-2026";"01:00";-8;-12,8;69;128;6,5;129;14;0;1005,4;900,5;0
11190;"Eisenstadt";184;"22-01-2026";"01:00";-5,7;-8,1;84;135;18;126;33,8;0;1007,5;984,4;0
11204;"Lienz";659;"22-01-2026";"01:00";-15;-16,9;87;284;2,2;136;5,4;0;1012,7;927,7;0
11240;"Graz/Flughafen";340;"22-01-2026";"01:00";-7,4;-9,1;88;310;7,6;;11,2;0;1008,7;963;0
11244;"Bad Gleichenberg";280;"22-01-2026";"01:00";-5,9;-8;86;203;4,3;202;8,6;0;1008,5;974,3;0
11265;"Villacher Alpe";2140;"22-01-2026";"01:00";-6,3;-22,3;27;238;38,9;239;42,1;0;;766,5;0
11331;"Klagenfurt/Flughafen";447;"22-01-2026";"01:00";-8,4;-9,8;90;146;5,4;137;10,1;0;1010;953,1;0
11343;"Sonnblick";3105;"22-01-2026";"01:00";-7,1;-40,6;5;359;6,5;355;13,3;;;679;0
11389;"St. Pölten";270;"22-01-2026";"01:00";-6;-9;80;67;10,1;44;22;0;1006,4;972,5;0
