"Station";"Name";"Höhe m";"Datum";"Zeit";"T °C";"TP °C";"RF %";"WR °";"WG km/h";"WSR °";"WSG km/h";"N l/m²";"LDred hPa";"LDstat hPa";"SO %"
11010;"Linz/Hörsching";298;"03-03-2022";"00:00";-3,6;-6,4;81;0;1,8;;7,6;0;1023,5;983,9;0
11012;"Kremsmünster";383;"03-03-2022";"00:00";-0,5;-9,1;53;229;19,8;228;23,4;0;1023;974,5;0
11022;"Retz";320;"03-03-2022";"00:00";0;-10;47;327;12,6;323;17,3;0;1022,5;982,6;0
11035;"Wien/Hohe Warte";203;"03-03-2022";"00:00";0,2;-9,8;48;329;8,6;332;12,6;0;1022,1;996;0
11036;"Wien/Schwechat";183;"03-03-2022";"00:00";0,1;-9,6;48;340;11,2;;16,6;0;1022,1;999,1;0
11101;"Bregenz";424;"03-03-2022";"00:00";3,1;-0,9;75;177;2,2;336;8,6;0;1021,4;968;0
11121;"Innsbruck";579;"03-03-2022";"00:00";1,8;-5;61;304;6,1;312;9;0;1022,2;951,1;0
11126;"Patscherkofel";2247;"03-03-2022";"00:00";-5,2;-12,3;58;334;20,2;328;26,6;0;;772,6;0
11130;"Kufstein";495;"03-03-2022";"00:00";-0,8;-5,2;73;260;2,2;222;5,8;0;1023,1;962,3;0
11150;"Salzburg";430;"03-03-2022";"00:00";-3,5;-6;83;170;3,6;;7,6;0;1023,4;967,7;0
11155;"Feuerkogel";1618;"03-03-2022";"00:00";-3,3;-24,1;18;295;12,6;286;17,6;0;;835,7;0
11157;"Aigen im Ennstal";640;"03-03-2022";"00:00";-4,4;-8,7;71;312;2,5;266;7,9;0;1025;944,2;0
11171;"Mariazell";866;"03-03-2022";"00:00";-6,7;-11,6;69;137;9,7;140;14,8;0;1025,4;918,9;0
11190;"Eisenstadt";184;"03-03-2022";"00:00";-1,6;-9,5;56;342;5,4;347;9,7;0;1021,9;998,8;0
11204;"Lienz";659;"03-03-2022";"00:00";-1,1;-6;70;107;2,2;338;5,4;0;1022,8;941,2;0
11240;"Graz/Flughafen";340;"03-03-2022";"00:00";-3,9;-8,7;69;0;1,8;;7,6;0;1023;977,2;0
11244;"Bad Gleichenberg";280;"03-03-2022";"00:00";-4,8;-8,9;74;337;3,2;317;4,3;0;1023;988,5;0
11265;"Villacher Alpe";2140;"03-03-2022";"00:00";-5,7;-19,6;33;324;21,6;332;28,1;0;;780,7;0
11331;"Klagenfurt/Flughafen";447;"03-03-2022";"00:00";-2,7;-8,1;67;350;3,2;325;7,2;0;1023;966,6;0
11343;"Sonnblick";3105;"03-03-2022";"00:00";-12,9;-20,5;54;18;27,4;24;44,6;;;690,3;0
11389;"St. Pölten";270;"03-03-2022";"00:00";-2,7;-7,5;69;183;4,3;206;6,8;0;1023,2;989,2;0
11010;"Linz/Hörsching";298;"03-03-2022";"02:00";-4;-6,6;83;220;3,6;;5,4;0;1023,4;983,7;0
11012;"Kremsmünster";383;"03-03-2022";"02:00";-1,4;-9;56;219;14,4;225;19,1;0;1023,1;974,4;0
11022;"Retz";320;"03-03-2022";"02:00";0,2;-10,6;44;330;10,8;328;16,9;0;1022,1;982,2;0
11035;"Wien/Hohe Warte";203;"03-03-2022";"02:00";-1,2;-9,5;53;325;7,6;324;17,3;0;1022,1;995,8;0
