"Station";"Name";"Höhe m";"Datum";"Zeit";"T °C";"TP °C";"RF %";"WR °";"WG km/h";"WSR °";"WSG km/h";"N l/m²";"LDred hPa";"LDstat hPa";"SO %"
11010;"Linz/Hörsching";298;"02-09-2022";"00:00";15,2;12;81;80;11,2;;14,8;0;1019,9;983,1;0
11012;"Kremsmünster";383;"02-09-2022";"00:00";14,8;12,1;84;62;5,8;75;8,6;0;1019,9;974,2;0
11022;"Retz";320;"02-09-2022";"00:00";16;7,1;56;6;15,5;11;25,9;0;1019,9;982,3;0
11035;"Wien/Hohe Warte";203;"02-09-2022";"00:00";16,4;6,9;53;355;13;357;27,4;0;1019,8;995,2;0
11036;"Wien/Schwechat";183;"02-09-2022";"00:00";13,9;7,7;66;340;13;;18,4;0;1019,8;998;0
11101;"Bregenz";424;"02-09-2022";"00:00";14,9;12,1;84;73;5;73;9,4;0;1016,1;965,3;0
11121;"Innsbruck";579;"02-09-2022";"00:00";12,4;11,1;92;284;2,5;167;5;0;1019;950,9;0
11126;"Patscherkofel";2247;"02-09-2022";"00:00";4,8;3,8;94;179;2,5;114;5,8;0;;778,2;0
11130;"Kufstein";495;"02-09-2022";"00:00";12,5;9,7;83;54;1,4;27;7,6;0;1018,9;961,2;0
11150;"Salzburg";430;"02-09-2022";"00:00";11,2;10,2;93;90;3,6;;7,6;0;1019,7;967,1;0
11155;"Feuerkogel";1618;"02-09-2022";"00:00";6,1;3,8;86;125;22;114;37,4;0;;840,4;0
11157;"Aigen im Ennstal";640;"02-09-2022";"00:00";9,7;8,4;91;179;1,4;226;6,8;0;1021,4;944,9;0
11171;"Mariazell";866;"02-09-2022";"00:00";9,7;8,9;95;108;1,8;5;8,3;0;1021,4;921,4;0
11190;"Eisenstadt";184;"02-09-2022";"00:00";16,2;7,9;59;314;18;313;28,4;0;1018,8;997,3;0
11204;"Lienz";659;"02-09-2022";"00:00";15,5;11,9;79;214;4,3;302;8,3;0;1018;941,6;0
11240;"Graz/Flughafen";340;"02-09-2022";"00:00";16,5;9,6;64;330;7,6;;14,8;0;1018,7;976,4;0
11244;"Bad Gleichenberg";280;"02-09-2022";"00:00";17,7;7,2;50;355;11,2;29;30,2;0;1018,7;987;0
11265;"Villacher Alpe";2140;"02-09-2022";"00:00";2,9;2,7;99;44;40,3;45;51,8;0;;787,5;0
11331;"Klagenfurt/Flughafen";447;"02-09-2022";"00:00";12,9;11;89;293;10,1;297;14,4;0;1019,7;966,6;0
11343;"Sonnblick";3105;"02-09-2022";"00:00";-1,1;-1,2;100;280;23,8;275;27,4;;;699,5;0
11389;"St. Pölten";270;"02-09-2022";"00:00";14;10;77;65;2,5;58;9;0;1020,5;988,6;0
11010;"Linz/Hörsching";298;"02-09-2022";"01:00";15,3;11,2;76;80;13;;18,4;0;1019,6;982,8;0
11012;"Kremsmünster";383;"02-09-2022";"01:00";14,3;11,7;84;52;9,7;82;13,7;0;1019,8;974;0
11022;"Retz";320;"02-09-2022";"01:00";15,6;7;56;18;15,8;349;27,4;0;1019,8;982,2;0
11035;"Wien/Hohe Warte";203;"02-09-2022";"01:00";16;6,9;55;350;12,2;352;27;0;1019,5;994,9;0
11036;"Wien/Schwechat";183;"02-09-2022";"01:00";13,2;7,5;68;330;13;;14,8;0;1019,6;997,7;0
11101;"Bregenz";424;"02-09-2022";"01:00";14,4;12,2;87;49;4,7;61;7,9;0;1016,1;965,2;0
11121;"Innsbruck";579;"02-09-2022";"01:00";11,9;10,3;91;170;5;200;9,4;0;1019;950,8;0
11126;"Patscherkofel";2247;"02-09-2022";"01:00";4,8;3,8;94;193;6,1;178;7,6;0;;777,9;0
11130;"Kufstein";495;"02-09-2022";"01:00";11,5;9,6;89;181;1,4;179;4;0;1018,7;960,9;0
11150;"Salzburg";430;"02-09-2022";"01:00";9,8;8,9;94;190;5,4;;7,6;0;1019,7;966,8;0
11155;"Feuerkogel";1618;"02-09-2022";"01:00";5,8;3,9;88;131;16,9;118;38,2;0;;840,1;0
11157;"Aigen im Ennstal";640;"02-09-2022";"01:00";7,9;7,3;95;207;1,1;141;5,8;0;1021,7;944,7;0
11171;"Mariazell";866;"02-09-2022";"01:00";9,3;9,2;100;125;2,9;173;7,6;0;1021,3;921,2;0
11190;"Eisenstadt";184;"02-09-2022";"01:00";15,6;7,7;60;313;19,1;316;28,1;0;1018,6;997;0
11204;"Lienz";659;"02-09-2022";"01:00";15,4;11,2;76;157;2,2;209;7,9;0;1018;941,5;0
11240;"Graz/Flughafen";340;"02-09-2022";"01:00";15,6;11,4;76;0;1,8;;11,2;0;1018,5;976,1;0
11244;"Bad Gleichenberg";280;"02-09-2022";"01:00";17;7,5;53;2;10,4;334;24,8;0;1018,7;986,9;0
11265;"Villacher Alpe";2140;"02-09-2022";"01:00";3,2;1,7;90;44;36,7;46;46,1;0;;787,1;0
11331;"Klagenfurt/Flughafen";447;"02-09-2022";"01:00";11,9;10,6;92;353;2,2;297;12,2;0;1019,9;966,6;0
11343;"Sonnblick";3105;"02-09-2022";"01:00";-1,6;-2;99;310;18,4;269;32;;;699,2;0
11389;"St. Pölten";270;"02-09-2022";"01:00";12,9;10,8;87;169;2,9;180;6,5;0;1020,4;988,4;0
11010;"Linz/Hörsching";298;"02-09-2022";"04:00";12,6;8,8;77;80;11,2;;20,5;0;1019,4;982,2;0
11012;"Kremsmünster";383;"02-09-2022";"04:00";12,6;10,1;85;56;10,1;65;20,5;0;1019,2;973,2;0
11022;"Retz";320;"02-09-2022";"04:00";13,4;6,5;63;8;17,6;4;30,2;0;1019,1;981,2;0
11035;"Wien/Hohe Warte";203;"02-09-2022";"04:00";14,2;7,2;63;336;8,3;325;23,8;0;1019;994,3;0
11036;"Wien/Schwechat";183;"02-09-2022";"04:00";12,5;7,5;72;320;13;;16,6;0;1019,1;997,2;0
11101;"Bregenz";424;"02-09-2022";"04:00";12,9;11,9;94;151;5,4;165;7,9;0;1015,7;964,6;0
11121;"Innsbruck";579;"02-09-2022";"04:00";10,2;9,5;96;238;5,4;272;9,4;0;1018,8;950,2;0
11126;"Patscherkofel";2247;"02-09-2022";"04:00";4,9;3,2;89;178;21,2;178;25,6;0;;777,1;0
11130;"Kufstein";495;"02-09-2022";"04:00";9,8;9;95;210;0,7;243;5;0;1018,6;960,4;0
11150;"Salzburg";430;"02-09-2022";"04:00";8,4;7,8;96;170;3,6;;7,6;0;1019,1;966;0
11155;"Feuerkogel";1618;"02-09-2022";"04:00";6,3;2,2;76;124;19,8;118;32,4;0;;839,1;0
11157;"Aigen im Ennstal";640;"02-09-2022";"04:00";6,5;6,3;98;225;2,2;244;5,8;0;1021,5;944,1;0
11171;"Mariazell";866;"02-09-2022";"04:00";7,9;7,8;100;145;4,7;177;11,9;0;1020,9;920,4;0
11190;"Eisenstadt";184;"02-09-2022";"04:00";15,1;7;59;316;12,6;345;34,6;0;1017,8;996,2;0
11204;"Lienz";659;"02-09-2022";"04:00";13,9;11,6;86;119;7,2;113;13;0;1018,1;941,2;0
11240;"Graz/Flughafen";340;"02-09-2022";"04:00";14;11,3;84;190;3,6;;5,4;0;1018,3;975,6;0
11244;"Bad Gleichenberg";280;"02-09-2022";"04:00";16,1;7,6;56;60;2,5;22;27,4;0;1018,1;986,2;0
11265;"Villacher Alpe";2140;"02-09-2022";"04:00";2,1;2,1;100;47;16,9;48;24,8;0;;786,6;0
11331;"Klagenfurt/Flughafen";447;"02-09-2022";"04:00";10,3;9,6;96;320;7,2;315;15,1;0;1020;966,4;0
11343;"Sonnblick";3105;"02-09-2022";"04:00";-0,7;-7,7;60;340;16,6;329;20,9;;;698,6;0
11389;"St. Pölten";270;"02-09-2022";"04:00";10,6;9,9;96;151;3,2;164;7,6;0;1020;987,7;0
11010;"Linz/Hörsching";298;"02-09-2022";"06:00";11,4;8,2;81;100;9,4;;16,6;0;1019,1;981,8;0
11012;"Kremsmünster";383;"02-09-2022";"06:00";11,2;9,5;90;67;13;61;19,1;0;1019,2;972,9;0
11022;"Retz";320;"02-09-2022";"06:00";12,2;6,5;68;4;14,4;355;30,6;0;1019,1;981,1;0
11035;"Wien/Hohe Warte";203;"02-09-2022";"06:00";12,4;7,3;71;314;9,4;322;15,8;0;1018,9;994;0
11036;"Wien/Schwechat";183;"02-09-2022";"06:00";11,4;7,2;75;330;11,2;;16,6;0;1019;997;0
11101;"Bregenz";424;"02-09-2022";"06:00";11,9;11,4;96;123;3,2;156;5,8;0;1015,7;964,4;0
11121;"Innsbruck";579;"02-09-2022";"06:00";8,9;8,6;99;4;1,8;166;4;0;1018,8;949,8;0
11126;"Patscherkofel";2247;"02-09-2022";"06:00";4,9;4;94;178;23;175;29,5;0;;776,6;0
11130;"Kufstein";495;"02-09-2022";"06:00";9,2;8,5;96;0;0;202;2,9;0;1018,3;960;0
11150;"Salzburg";430;"02-09-2022";"06:00";6,8;6,5;99;0;1,8;;7,6;0;1018,9;965,5;0
11155;"Feuerkogel";1618;"02-09-2022";"06:00";6;1,8;75;131;12,6;119;20,9;0;;838,6;0
11157;"Aigen im Ennstal";640;"02-09-2022";"06:00";7,1;6,9;99;238;2,5;227;5,4;0;1021;943,8;0
11171;"Mariazell";866;"02-09-2022";"06:00";6,8;6,7;100;167;7,6;178;14,4;0;1021,1;920,1;0
11190;"Eisenstadt";184;"02-09-2022";"06:00";14,2;7,4;64;307;15,8;324;25,9;0;1017,9;996,2;0
11204;"Lienz";659;"02-09-2022";"06:00";13;10,7;86;104;6,1;122;15,8;0;1018,2;941,1;0
11240;"Graz/Flughafen";340;"02-09-2022";"06:00";13,9;11,1;83;200;5,4;;5,4;0;1017,9;975,2;0
11244;"Bad Gleichenberg";280;"02-09-2022";"06:00";14,4;9,8;73;92;1,4;95;2,9;0;1018,2;986,2;0
11265;"Villacher Alpe";2140;"02-09-2022";"06:00";2,3;1,3;93;35;9,7;16;19,4;0;;785,7;0
11331;"Klagenfurt/Flughafen";447;"02-09-2022";"06:00";9,1;8,8;99;311;7,2;312;11,5;0;1020;966,2;0
11343;"Sonnblick";3105;"02-09-2022";"06:00";0,3;-14,3;33;349;18;355;25,2;;;698,2;0
11389;"St. Pölten";270;"02-09-2022";"06:00";9,7;9,2;97;181;2,9;164;9;0;1019,7;987,3;0
11010;"Linz/Hörsching";298;"02-09-2022";"07:00";11,5;8,2;80;100;11,2;;16,6;0;1019,1;981,8;38
11012;"Kremsmünster";383;"02-09-2022";"07:00";10,8;9,4;91;78;10,4;65;17,6;0;1019,2;972,9;41
11022;"Retz";320;"02-09-2022";"07:00";12,2;6,8;69;354;15,1;350;28,4;0;1019,2;981,2;3
11035;"Wien/Hohe Warte";203;"02-09-2022";"07:00";12,6;7,4;71;304;6,5;314;14,8;0;1019,2;994,3;0
