"Station";"Name";"Höhe m";"Datum";"Zeit";"T °C";"TP °C";"RF %";"WR °";"WG km/h";"WSR °";"WSG km/h";"N l/m²";"LDred hPa";"LDstat hPa";"SO %"
11010;"Linz/Hörsching";298;"06-05-2023";"00:00";16,3;7,5;56;110;5,4;;18,4;0;1014,9;978,4;0
11012;"Kremsmünster";383;"06-05-2023";"00:00";15,8;8,7;63;247;23;245;59;0;1016,9;971,5;0
11022;"Retz";320;"06-05-2023";"00:00";14,9;8,2;64;21;7,9;28;13,3;0;1016,6;979;0
11035;"Wien/Hohe Warte";203;"06-05-2023";"00:00";14,6;9,3;70;175;3,6;176;11,2;0;1016,4;991,8;0
11036;"Wien/Schwechat";183;"06-05-2023";"00:00";12,1;8,4;78;170;13;;18,4;0;1017,1;995,2;0
11101;"Bregenz";424;"06-05-2023";"00:00";14,9;12;83;131;14,8;125;33,8;0;1018,4;967,5;0
11121;"Innsbruck";579;"06-05-2023";"00:00";13,4;11,3;87;217;2,2;256;22,7;0;1019,3;951,4;0
11126;"Patscherkofel";2247;"06-05-2023";"00:00";2,9;1,4;89;314;23,4;294;50;0,1;;778;0
11130;"Kufstein";495;"06-05-2023";"00:00";12,4;11,1;92;262;6,5;256;18;4,1;1019,5;961,8;0
11150;"Salzburg";430;"06-05-2023";"00:00";13,3;10,8;85;190;3,6;;66,6;3,3;1019,6;967,4;0
11155;"Feuerkogel";1618;"06-05-2023";"00:00";6,1;5,3;96;293;39,2;284;77;0;;839,2;0
11157;"Aigen im Ennstal";640;"06-05-2023";"00:00";10,2;7,7;84;267;4;248;7,9;0;1017,5;941,4;0
11171;"Mariazell";866;"06-05-2023";"00:00";13,7;7,8;68;160;11,2;160;27;0;1016,3;918,1;0
11190;"Eisenstadt";184;"06-05-2023";"00:00";13,7;10,1;80;8;6,5;54;13,7;0;1016,6;994,9;0
11204;"Lienz";659;"06-05-2023";"00:00";16,5;8,6;60;;7,2;260;15,5;0;1016,1;940;0
11240;"Graz/Flughafen";340;"06-05-2023";"00:00";13,4;9,6;78;350;5,4;;11,2;0;1017,5;974,8;0
11244;"Bad Gleichenberg";280;"06-05-2023";"00:00";12,7;9,7;81;330;4;342;10,1;0;1017,7;985,5;0
11265;"Villacher Alpe";2140;"06-05-2023";"00:00";5,7;-0,9;63;226;33,5;234;41;0;;786,6;0
11331;"Klagenfurt/Flughafen";447;"06-05-2023";"00:00";14;10,2;78;319;4,3;299;9,7;0;1017;964,3;0
11343;"Sonnblick";3105;"06-05-2023";"00:00";-0,5;-1;97;247;23,4;236;40,3;;;699,2;0
11389;"St. Pölten";270;"06-05-2023";"00:00";15,7;8,8;63;336;6,1;7;12,6;0;1015,6;984;0
