"Station";"Name";"Höhe m";"Datum";"Zeit";"T °C";"TP °C";"RF %";"WR °";"WG km/h";"WSR °";"WSG km/h";"N l/m²";"LDred hPa";"LDstat hPa";"SO %"
11010;"Linz/Hörsching";298;"19-05-2026";"00:00";10,9;5,9;71;310;5,4;;13;0;1016,4;979,1;0
11012;"Kremsmünster";383;"19-05-2026";"00:00";11,3;5,4;66;223;20,5;232;29,5;0;1016,6;970,4;0
11022;"Retz";320;"19-05-2026";"00:00";12,1;7,1;72;30;10,4;27;18;0;1016,7;978,7;0
11035;"Wien/Hohe Warte";203;"19-05-2026";"00:00";10,7;6,6;76;340;2,2;31;11,2;0;1016,4;991,4;0
11036;"Wien/Schwechat";183;"19-05-2026";"00:00";10;6,6;79;180;5,4;;11,2;0;1016,6;994,5;0
11101;"Bregenz";424;"19-05-2026";"00:00";8,7;6,2;85;145;18;140;25,9;0;1019,5;967,3;0
11121;"Innsbruck";579;"19-05-2026";"00:00";8,3;6,2;87;305;8,6;245;36,7;0,8;1020,1;950,9;0
11126;"Patscherkofel";2247;"19-05-2026";"00:00";-2,1;-2,2;100;308;27,4;311;32,4;1,6;;774,5;0
11130;"Kufstein";495;"19-05-2026";"00:00";12,3;6,1;66;23;4,3;23;19,4;0;1017,9;960,2;0
11150;"Salzburg";430;"19-05-2026";"00:00";13,1;6,3;63;340;9,4;;27,7;0;1017,6;965,4;0
11155;"Feuerkogel";1618;"19-05-2026";"00:00";4,7;0,8;76;291;5;312;14;0;;837,5;0
11157;"Aigen im Ennstal";640;"19-05-2026";"00:00";10,8;5,1;68;224;5;221;12,2;0;1017,2;941,2;0
11171;"Mariazell";866;"19-05-2026";"00:00";7,8;3,4;74;129;8,3;129;12,2;0;1017,7;917,3;0
11190;"Eisenstadt";184;"19-05-2026";"00:00";11,1;7;76;354;7,2;346;14,4;0;1016,2;994,3;0
11204;"Lienz";659;"19-05-2026";"00:00";9,9;6,2;78;265;6,5;238;19,1;0;1017,8;939,8;0
11240;"Graz/Flughafen";340;"19-05-2026";"00:00";11,2;9,9;92;0;1,8;;13;0;1016,8;973,8;0
11244;"Bad Gleichenberg";280;"19-05-2026";"00:00";12,1;10,7;92;71;5;360;17,3;0,5;1016,2;984;0
11265;"Villacher Alpe";2140;"19-05-2026";"00:00";1,5;-1,7;79;304;4,3;307;9,4;0;;783,6;0
11331;"Klagenfurt/Flughafen";447;"19-05-2026";"00:00";11,5;8;79;327;3,6;314;8,6;0;1016,8;963,6;0
11343;"Sonnblick";3105;"19-05-2026";"00:00";-5;-5,7;95;78;12,6;96;22;;;694,9;0
11389;"St. Pölten";270;"19-05-2026";"00:00";9,8;6,4;79;199;4,7;207;7,9;0;1016,4;984,1;0
