"Station";"Name";"Höhe m";"Datum";"Zeit";"T °C";"TP °C";"RF %";"WR °";"WG km/h";"WSR °";"WSG km/h";"N l/m²";"LDred hPa";"LDstat hPa";"SO %"
11010;"Linz/Hörsching";298;"02-06-2025";"00:00";18,6;15,2;81;100;3,6;;11,2;0;1015,2;979;0
11012;"Kremsmünster";383;"02-06-2025";"00:00";19,7;15,1;75;212;16,2;223;23,4;0;1015;970,3;0
11022;"Retz";320;"02-06-2025";"00:00";17,7;16,3;92;256;4,7;317;11,9;0;1015,2;978,1;0
11035;"Wien/Hohe Warte";203;"02-06-2025";"00:00";17,7;15,6;87;250;2,2;99;14;0;1014,8;990,5;0
11036;"Wien/Schwechat";183;"02-06-2025";"00:00";17,5;14,7;84;40;3,6;;14,8;0;1015,2;993,8;0
11101;"Bregenz";424;"02-06-2025";"00:00";19,9;14;70;117;24,1;114;46,4;0;1015,7;965,8;0
11121;"Innsbruck";579;"02-06-2025";"00:00";16,6;15,1;91;70;9;272;45,7;8,1;1019,8;952,7;0
11126;"Patscherkofel";2247;"02-06-2025";"00:00";5,9;5,8;100;346;23;187;65,9;5,8;;781,6;0
11130;"Kufstein";495;"02-06-2025";"00:00";20;13,5;66;206;7,6;205;24,5;0,1;1016,7;960,7;0
11150;"Salzburg";430;"02-06-2025";"00:00";20,4;14,3;68;160;16,6;;29,5;0;1014,5;963,8;0
11155;"Feuerkogel";1618;"02-06-2025";"00:00";13,6;8,7;72;212;17,6;197;28,4;0;;841;0
11157;"Aigen im Ennstal";640;"02-06-2025";"00:00";15;13,3;90;243;5,4;228;9;0;1018,5;943,7;0
11171;"Mariazell";866;"02-06-2025";"00:00";13;13;100;144;16,9;137;24,8;0;1018,1;919,7;0
11190;"Eisenstadt";184;"02-06-2025";"00:00";19,1;14,4;74;323;4,3;346;12,6;0;1014,4;993,2;0
11204;"Lienz";659;"02-06-2025";"00:00";16,3;12,9;80;305;6,8;306;24,1;0;1019,5;943,2;0
11240;"Graz/Flughafen";340;"02-06-2025";"00:00";16,6;14,9;90;240;3,6;;11,2;0;1017,1;974,9;0
11244;"Bad Gleichenberg";280;"02-06-2025";"00:00";18,9;14,6;77;214;3,2;340;12,2;0;1016,5;985,1;0
11265;"Villacher Alpe";2140;"02-06-2025";"00:00";9;8,9;100;279;27,7;269;37,1;0;;790,2;0
11331;"Klagenfurt/Flughafen";447;"02-06-2025";"00:00";19;13,6;71;304;7,6;315;10,8;0;1017,2;965,4;0
11343;"Sonnblick";3105;"02-06-2025";"00:00";2,4;1,8;97;195;29,9;194;33,1;;;703,1;0
11389;"St. Pölten";270;"02-06-2025";"00:00";18,1;13,8;76;182;9;237;14;0;1015,4;984,1;0
11010;"Linz/Hörsching";298;"02-06-2025";"01:00";17,8;15,1;84;50;7,6;;11,2;0;1015,2;978,9;0
11012;"Kremsmünster";383;"02-06-2025";"01:00";19,1;14,9;77;214;14,4;209;20,9;0;1014,9;970,1;0
11022;"Retz";320;"02-06-2025";"01:00";18,8;15,2;80;203;1,8;336;10,4;0;1015,1;978,2;0
11035;"Wien/Hohe Warte";203;"02-06-2025";"01:00";16,9;15,3;90;10;4,3;359;12,6;0;1014,6;990,3;0
11036;"Wien/Schwechat";183;"02-06-2025";"01:00";16,3;14,2;88;180;11,2;;13;0;1015,2;993,7;0
11101;"Bregenz";424;"02-06-2025";"01:00";19,2;14,1;73;119;9,7;107;46,8;0;1016,1;966;0
11121;"Innsbruck";579;"02-06-2025";"01:00";16,5;15,2;92;27;0,7;77;21,6;0,3;1019,3;952,2;0
11126;"Patscherkofel";2247;"02-06-2025";"01:00";6,2;5;92;182;25,6;185;32,4;0,3;;780,7;0
11130;"Kufstein";495;"02-06-2025";"01:00";17,1;14,4;84;194;5,4;203;34,6;1;1018,2;961,6;0
11150;"Salzburg";430;"02-06-2025";"01:00";19,9;14,3;70;140;11,2;;27,7;0;1015;964,2;0
11155;"Feuerkogel";1618;"02-06-2025";"01:00";13,8;8,7;71;207;25,9;201;33,5;0;;840,9;0
11157;"Aigen im Ennstal";640;"02-06-2025";"01:00";15,2;12,7;85;208;4,7;269;9,7;0;1018,4;943,6;0
11171;"Mariazell";866;"02-06-2025";"01:00";12,7;12,6;100;156;15,5;166;24,5;0;1018;919,5;0
11190;"Eisenstadt";184;"02-06-2025";"01:00";19,4;14,5;74;71;5,4;281;17,6;0;1014,5;993,3;0
11204;"Lienz";659;"02-06-2025";"01:00";16,1;13,1;83;272;2,5;275;18,7;0;1020;943,6;0
11240;"Graz/Flughafen";340;"02-06-2025";"01:00";16,5;14,6;89;280;7,6;;13;0;1016,7;974,5;0
11244;"Bad Gleichenberg";280;"02-06-2025";"01:00";18,1;14,7;81;179;1,4;219;5;0;1016,4;984,9;0
11265;"Villacher Alpe";2140;"02-06-2025";"01:00";9,1;7,1;88;360;14,8;276;32;0;;790;0
11331;"Klagenfurt/Flughafen";447;"02-06-2025";"01:00";17,7;13,8;78;345;4,7;310;9,4;0;1017,3;965,3;0
11343;"Sonnblick";3105;"02-06-2025";"01:00";1,6;1,1;98;250;27,7;199;36,7;;;703,3;0
11389;"St. Pölten";270;"02-06-2025";"01:00";17,9;13,4;75;208;9;211;17,6;0;1015;983,7;0
11010;"Linz/Hörsching";298;"02-06-2025";"02:00";18,2;15;81;70;5,4;;11,2;0;1015,1;978,9;0
11012;"Kremsmünster";383;"02-06-2025";"02:00";18,8;14,6;77;216;18,4;224;25,6;0;1014,7;969,9;0
11022;"Retz";320;"02-06-2025";"02:00";17,2;14,2;82;262;3,6;280;14;0;1015,3;978,1;0
11035;"Wien/Hohe Warte";203;"02-06-2025";"02:00";16,7;15,1;90;249;4;66;14,4;0;1015;990,6;0
11036;"Wien/Schwechat";183;"02-06-2025";"02:00";16,5;14,3;87;0;1,8;;13;0;1015,3;993,8;0
11101;"Bregenz";424;"02-06-2025";"02:00";17,9;14,4;81;139;7,2;165;14,8;0;1016,2;965,9;0
11121;"Innsbruck";579;"02-06-2025";"02:00";15,7;14,7;94;236;4,3;293;15,1;0;1018,4;951,2;0
11126;"Patscherkofel";2247;"02-06-2025";"02:00";7,4;4,4;81;179;33,1;165;45;0;;779,8;0
11130;"Kufstein";495;"02-06-2025";"02:00";16,4;13,5;83;205;7,6;200;20,9;0,5;1017,6;960,8;0
11150;"Salzburg";430;"02-06-2025";"02:00";22,1;12,6;55;220;25,9;;38,9;0;1014,6;964,2;0
11155;"Feuerkogel";1618;"02-06-2025";"02:00";14,4;7,9;65;229;20,9;208;33,1;0;;840,9;0
11157;"Aigen im Ennstal";640;"02-06-2025";"02:00";14,2;12,6;90;224;7,2;211;14,8;0;1018,6;943,6;0
11171;"Mariazell";866;"02-06-2025";"02:00";12,4;12,4;100;147;15,1;168;20,9;0;1017,9;919,3;0
11190;"Eisenstadt";184;"02-06-2025";"02:00";18,2;14,5;80;355;6,1;359;11,2;0;1014,7;993,4;0
11204;"Lienz";659;"02-06-2025";"02:00";15,8;13,6;87;270;6,5;;18,4;0;1019,6;943,2;0
11240;"Graz/Flughafen";340;"02-06-2025";"02:00";15;14;94;0;1,8;;11,2;0;1016,6;974,2;0
11244;"Bad Gleichenberg";280;"02-06-2025";"02:00";16,8;14,5;87;119;2,2;153;5,4;0;1016;984,4;0
11265;"Villacher Alpe";2140;"02-06-2025";"02:00";8,6;8,6;100;335;11,5;337;24,5;0;;789,7;0
