"Station";"Name";"Höhe m";"Datum";"Zeit";"T °C";"TP °C";"RF %";"WR °";"WG km/h";"WSR °";"WSG km/h";"N l/m²";"LDred hPa";"LDstat hPa";"SO %"
11010;"Linz/Hörsching";298;"08-06-2026";"00:00";16;12,6;80;240;5,4;;7,6;0;1022,5;985,7;0
11012;"Kremsmünster";383;"08-06-2026";"00:00";17,5;12,1;71;224;20,2;225;23,4;0;1022,4;977;0
11022;"Retz";320;"08-06-2026";"00:00";18;7,9;52;328;8,3;331;16,2;0;1022,1;984,7;0
11035;"Wien/Hohe Warte";203;"08-06-2026";"00:00";18,1;10,9;63;315;13;321;18,7;0;1021,7;997,2;0
11036;"Wien/Schwechat";183;"08-06-2026";"00:00";18;10,7;62;330;5,4;;18,4;0;1021,9;1000,3;0
11101;"Bregenz";424;"08-06-2026";"00:00";16,5;11,3;72;90;4,7;56;9;0;1021,1;970,3;0
11121;"Innsbruck";579;"08-06-2026";"00:00";17,4;12,2;72;21;10,1;148;31;0;1022,5;955,3;0
11126;"Patscherkofel";2247;"08-06-2026";"00:00";6,2;6,1;99;156;7,6;154;8,6;0;;783,4;0
11130;"Kufstein";495;"08-06-2026";"00:00";15;11,8;82;126;2,2;212;4,3;0;1023;965,6;0
11150;"Salzburg";430;"08-06-2026";"00:00";15,9;12,4;80;160;9,4;;18,4;0;1022,6;970,7;0
11155;"Feuerkogel";1618;"08-06-2026";"00:00";9,8;6,3;79;235;4,7;318;9,7;0;;845,4;0
11157;"Aigen im Ennstal";640;"08-06-2026";"00:00";16,8;12,4;75;309;0,7;168;7,9;0;1022,7;948;0
11171;"Mariazell";866;"08-06-2026";"00:00";13,9;10,4;80;118;1,8;70;6,1;0;1023,4;924,7;0
11190;"Eisenstadt";184;"08-06-2026";"00:00";21,3;11,2;53;300;10,1;301;20,2;0;1021,1;999,9;0
11204;"Lienz";659;"08-06-2026";"00:00";15,3;14;92;57;1,4;304;25,9;5,7;1024,6;947,7;0
11240;"Graz/Flughafen";340;"08-06-2026";"00:00";17,2;14,5;84;0;1,8;;5,4;0;1022,1;979,8;0
11244;"Bad Gleichenberg";280;"08-06-2026";"00:00";16;13,1;82;15;1,1;345;3,2;0;1022,2;990,3;0
11265;"Villacher Alpe";2140;"08-06-2026";"00:00";8,8;3,6;71;232;22,3;231;26,3;0;;792,9;0
11331;"Klagenfurt/Flughafen";447;"08-06-2026";"00:00";16,7;13,2;80;12;11,5;28;22,3;0;1023;970,5;0
11343;"Sonnblick";3105;"08-06-2026";"00:00";1,5;0,5;94;211;4,7;271;19,1;;;705,3;0
11389;"St. Pölten";270;"08-06-2026";"00:00";16,1;12,3;78;175;7,2;214;12,6;0;1022,2;990,5;0
11010;"Linz/Hörsching";298;"08-06-2026";"01:00";15;13;88;170;3,6;;9,4;0;1022,5;985,6;0
11012;"Kremsmünster";383;"08-06-2026";"01:00";16,6;12;74;227;18,4;225;22,7;0;1022,2;976,7;0
11022;"Retz";320;"08-06-2026";"01:00";17,3;7,5;53;331;9;333;13,3;0;1022,3;984,8;0
11035;"Wien/Hohe Warte";203;"08-06-2026";"01:00";16,6;11;69;320;4,7;323;15,8;0;1021,8;997,2;0
11036;"Wien/Schwechat";183;"08-06-2026";"01:00";16,5;10,7;69;0;1,8;;9,4;0;1022;1000,3;0
11101;"Bregenz";424;"08-06-2026";"01:00";16,3;11,8;75;48;3,6;199;10,4;0;1021,1;970,3;0
11121;"Innsbruck";579;"08-06-2026";"01:00";16,8;11,6;71;91;6,5;138;26,6;0;1022,7;955,3;0
11126;"Patscherkofel";2247;"08-06-2026";"01:00";6,3;6;98;179;14,4;179;16,6;0;;783,3;0
11130;"Kufstein";495;"08-06-2026";"01:00";13,9;11,9;88;247;1,1;202;6,1;0;1023;965,4;0
11150;"Salzburg";430;"08-06-2026";"01:00";15;11,9;82;180;5,4;;14,8;0;1022,5;970,5;0
11155;"Feuerkogel";1618;"08-06-2026";"01:00";10;6,7;80;200;6,1;192;9,4;0;;845,1;0
11157;"Aigen im Ennstal";640;"08-06-2026";"01:00";15,9;12,3;79;278;1,1;209;8,3;0;1022,8;947,9;0
11171;"Mariazell";866;"08-06-2026";"01:00";13,4;10,2;82;129;4,3;130;6,1;0;1023,5;924,6;0
11190;"Eisenstadt";184;"08-06-2026";"01:00";20,8;11,1;54;297;13,3;310;19,8;0;1021,1;999,9;0
11204;"Lienz";659;"08-06-2026";"01:00";15;14,1;94;305;1,8;294;7,6;1,7;1024,3;947,3;0
11240;"Graz/Flughafen";340;"08-06-2026";"01:00";17,1;14,1;83;340;5,4;;9,4;0;1021,9;979,6;0
11244;"Bad Gleichenberg";280;"08-06-2026";"01:00";16,2;12,7;79;348;4,3;342;6,8;0;1022,1;990,2;0
11265;"Villacher Alpe";2140;"08-06-2026";"01:00";8,7;3,1;68;260;19,4;247;24,8;0;;792,7;0
11331;"Klagenfurt/Flughafen";447;"08-06-2026";"01:00";15,7;13,4;87;353;3,6;8;17,3;0;1022,8;970,1;0
11343;"Sonnblick";3105;"08-06-2026";"01:00";1,3;1,3;100;214;15,1;212;21,6;;;704,8;0
11389;"St. Pölten";270;"08-06-2026";"01:00";15,8;11,9;77;210;7,6;185;14;0;1022,2;990,5;0
11010;"Linz/Hörsching";298;"08-06-2026";"03:00";13,5;11,5;88;270;3,6;;7,6;0;1022,5;985,4;0
11012;"Kremsmünster";383;"08-06-2026";"03:00";15;11,8;81;224;10,1;227;21,6;0;1022,3;976,5;0
11022;"Retz";320;"08-06-2026";"03:00";16,4;7,8;57;336;13,3;335;18,4;0;1022,2;984,6;0
11035;"Wien/Hohe Warte";203;"08-06-2026";"03:00";14,6;10;73;326;3,6;312;6,5;0;1021,8;997;0
11036;"Wien/Schwechat";183;"08-06-2026";"03:00";13,6;10;79;180;5,4;;9,4;0;1022,1;1000,2;0
